epoch,global_step,phase,loss,accuracy,f1_macro,f1_weighted,precision,recall,learning_rate,wall_sec
1.4488,8700,train,1.675482,,,,,,0.00001149,2065.8
1.4571,8750,train,1.632338,,,,,,0.00001143,2077.2
1.4654,8800,train,1.674716,,,,,,0.00001137,2088.5
1.4738,8850,train,1.557375,,,,,,0.00001131,2099.9
1.4821,8900,train,1.621322,,,,,,0.00001124,2112.2
1.4904,8950,train,1.603663,,,,,,0.00001118,2122.6
1.4988,9000,train,1.662871,,,,,,0.00001112,2133.9
1.5071,9050,train,1.604437,,,,,,0.00001106,2146.2
1.5154,9100,train,1.574868,,,,,,0.00001100,2156.6
1.5237,9150,train,1.606505,,,,,,0.00001094,2168.0
1.5321,9200,train,1.540576,,,,,,0.00001087,2179.3
1.5404,9250,train,1.495295,,,,,,0.00001081,2190.6
1.5487,9300,train,1.554507,,,,,,0.00001075,2202.9
1.5570,9350,train,1.653350,,,,,,0.00001069,2214.2
1.5654,9400,train,1.643546,,,,,,0.00001063,2224.6
1.5737,9450,train,1.599205,,,,,,0.00001057,2236.9
1.5820,9500,train,1.628356,,,,,,0.00001050,2247.3
1.5903,9550,train,1.590861,,,,,,0.00001044,2258.7
1.5987,9600,train,1.560508,,,,,,0.00001038,2271.0
1.6070,9650,train,1.649134,,,,,,0.00001032,2281.4
1.6153,9700,train,1.557411,,,,,,0.00001026,2292.7
1.6236,9750,train,1.501265,,,,,,0.00001020,2305.0
1.6320,9800,train,1.605311,,,,,,0.00001013,2316.3
1.6403,9850,train,1.642501,,,,,,0.00001007,2327.6
1.6486,9900,train,1.620534,,,,,,0.00001001,2338.1
1.6570,9950,train,1.533955,,,,,,0.00000995,2349.4
1.6653,10000,train,1.543924,,,,,,0.00000989,2360.8
1.6736,10050,train,1.554076,,,,,,0.00000983,2373.0
1.6819,10100,train,1.557290,,,,,,0.00000976,2383.5
1.6903,10150,train,1.665816,,,,,,0.00000970,2395.7
1.6986,10200,train,1.554920,,,,,,0.00000964,2406.2
1.7069,10250,train,1.527610,,,,,,0.00000958,2417.5
1.7152,10300,train,1.611213,,,,,,0.00000952,2429.8
1.7236,10350,train,1.637136,,,,,,0.00000946,2441.1
1.7319,10400,train,1.475131,,,,,,0.00000939,2451.5
1.7402,10450,train,1.607791,,,,,,0.00000933,2462.8
1.7485,10500,train,1.456366,,,,,,0.00000927,2475.1
1.7569,10550,train,1.533646,,,,,,0.00000921,2485.5
1.7652,10600,train,1.537018,,,,,,0.00000915,2496.9
1.7735,10650,train,1.550907,,,,,,0.00000909,2509.1
1.7818,10700,train,1.445414,,,,,,0.00000902,2519.5
1.7902,10750,train,1.634972,,,,,,0.00000896,2530.9
1.7985,10800,train,1.500362,,,,,,0.00000890,2543.1
1.8068,10850,train,1.523075,,,,,,0.00000884,2553.5
1.8152,10900,train,1.473197,,,,,,0.00000878,2564.8
1.8235,10950,train,1.453708,,,,,,0.00000872,2576.2
1.8318,11000,train,1.559226,,,,,,0.00000865,2587.5
1.8401,11050,train,1.596683,,,,,,0.00000859,2599.8
1.8485,11100,train,1.481165,,,,,,0.00000853,2611.2
1.8568,11150,train,1.486829,,,,,,0.00000847,2621.6
1.8651,11200,train,1.499999,,,,,,0.00000841,2632.9
1.8734,11250,train,1.472286,,,,,,0.00000835,2644.3
1.8818,11300,train,1.566160,,,,,,0.00000828,2656.5
1.8901,11350,train,1.567083,,,,,,0.00000822,2667.9
1.8984,11400,train,1.516140,,,,,,0.00000816,2678.3
1.9067,11450,train,1.469729,,,,,,0.00000810,2689.7
1.9151,11500,train,1.551167,,,,,,0.00000804,2701.1
1.9234,11550,train,1.530213,,,,,,0.00000798,2713.4
1.9317,11600,train,1.494820,,,,,,0.00000791,2724.7
1.9400,11650,train,1.496091,,,,,,0.00000785,2735.1
1.9484,11700,train,1.470665,,,,,,0.00000779,2747.4
1.9567,11750,train,1.533729,,,,,,0.00000773,2757.8
1.9650,11800,train,1.475105,,,,,,0.00000767,2769.1
1.9734,11850,train,1.464784,,,,,,0.00000761,2781.4
