epoch,step,global_step,phase,loss,perplexity,accuracy,precision,recall,f1_macro,f1_weighted,learning_rate,samples_per_sec,wall_time_sec
0.8032,6150,6150,train,2.872479,17.68,0.414171,,,,,0.00006366,0.0,5611.8
0.8097,6200,6200,train,2.872216,17.68,0.396463,,,,,0.00006332,0.0,5657.1
0.8162,6250,6250,train,2.853970,17.36,0.410675,,,,,0.00006297,0.0,5702.6
0.8228,6300,6300,train,2.854565,17.37,0.408699,,,,,0.00006262,0.0,5748.1
0.8293,6350,6350,train,2.845594,17.21,0.423330,,,,,0.00006227,0.0,5793.4
0.0.8358,6400,6400,train,2.844467,17.19,0.421144,,,,,0.00006193,0.0,5868.20.8424,6450,6450,train,2.835724,17.04,0.422166,,,,,0.00006158,0.0,5883.7
0.8489,6500,6500,train,2.827468,16.90,0.427574,,,,,0.00006123,0.0,5929.0
0.8554,6550,6550,train,2.821635,16.80,0.427098,,,,,0.00006088,0.0,5974.2
0.8620,6600,6600,train,2.816414,16.72,0.434925,,,,,0.00006054,0.0,6019.7
0.0.8685,6650,6650,train,2.812880,16.66,0.421759,,,,,0.00006019,0.0,6094.80.8750,6700,6700,train,2.813314,16.67,0.409235,,,,,0.00005984,0.0,6110.5
0.8815,6750,6750,train,2.800710,16.46,0.424701,,,,,0.00005950,0.0,6155.5
0.8881,6800,6800,train,2.786212,16.22,0.432402,,,,,0.00005915,0.0,6200.7
0.8946,6850,6850,train,2.785677,16.21,0.431547,,,,,0.00005880,0.0,6246.1
0.9011,6900,6900,train,2.777241,16.07,0.426771,,,,,0.00005845,0.0,6291.4
0.9077,6950,6950,train,2.768035,15.93,0.426522,,,,,0.00005811,0.0,6336.8
0.9142,7000,7000,train,2.772681,16.00,0.426657,,,,,0.00005776,0.0,6382.0
0.0.9207,7050,7050,train,2.761640,15.83,0.423146,,,,,0.00005741,0.0,6456.90.9273,7100,7100,train,2.749148,15.63,0.448388,,,,,0.00005706,0.0,6472.6
0.9338,7150,7150,train,2.742102,15.52,0.431288,,,,,0.00005672,0.0,6517.8
0.9403,7200,7200,train,2.746255,15.58,0.428928,,,,,0.00005637,0.0,6563.1
0.9468,7250,7250,train,2.736674,15.44,0.417860,,,,,0.00005602,0.0,6608.4
0.9534,7300,7300,train,2.742082,15.52,0.435897,,,,,0.00005568,0.0,6653.8
0.9599,7350,7350,train,2.728504,15.31,0.419799,,,,,0.00005533,0.0,6699.0
0.9664,7400,7400,train,2.734901,15.41,0.425146,,,,,0.00005498,0.0,6744.1
0.9730,7450,7450,train,2.725798,15.27,0.415094,,,,,0.00005463,0.0,6789.2
0.9795,7500,7500,train,2.713782,15.09,0.435644,,,,,0.00005429,0.0,6834.6
0.9860,7550,7550,train,2.714490,15.10,0.438346,,,,,0.00005394,0.0,6879.7
0.0.9926,7600,7600,train,2.707694,14.99,0.448210,,,,,0.00005359,0.0,6954.60.9991,7650,7650,train,2.699148,14.87,0.439510,,,,,0.00005324,0.0,6970.3
1.0000,7657,7657,val,2.611324,13.62,0.450668,0.458880,0.450668,0.181554,0.426450,,490.1,7018.0
1.0056,7700,7700,train,2.699056,14.87,0.444163,,,,,0.00005290,0.0,7060.5
1.0121,7750,7750,train,2.701210,14.90,0.450535,,,,,0.00005255,0.0,7105.8
1.0187,7800,7800,train,2.693027,14.78,0.439662,,,,,0.00005220,0.0,7151.0
1.1.0252,7850,7850,train,2.691156,14.75,0.434062,,,,,0.00005185,0.0,7226.51.1.0317,7900,7900,train,2.679121,14.57,0.448366,,,,,0.00005151,0.0,7272.21.0383,7950,7950,train,2.679645,14.58,0.440690,,,,,0.00005116,0.0,7287.9
1.0448,8000,8000,train,2.670394,14.45,0.427163,,,,,0.00005081,0.0,7333.3
1.0513,8050,8050,train,2.668455,14.42,0.456307,,,,,0.00005047,0.0,7378.7
1.0579,8100,8100,train,2.664383,14.36,0.449352,,,,,0.00005012,0.0,7424.1
1.0644,8150,8150,train,2.662471,14.33,0.438904,,,,,0.00004977,0.0,7469.3
1.0709,8200,8200,train,2.660117,14.30,0.453862,,,,,0.00004942,0.0,7514.6
1.0774,8250,8250,train,2.652060,14.18,0.442048,,,,,0.00004908,0.0,7560.4
1.0840,8300,8300,train,2.646418,14.10,0.436468,,,,,0.00004873,0.0,7605.8
1.0905,8350,8350,train,2.645376,14.09,0.437322,,,,,0.00004838,0.0,7651.4
1.0970,8400,8400,train,2.637625,13.98,0.449660,,,,,0.00004803,0.0,7697.3
1.1036,8450,8450,train,2.641182,14.03,0.449632,,,,,0.00004769,0.0,7743.1
1.1101,8500,8500,train,2.637885,13.98,0.433475,,,,,0.00004734,0.0,7788.5
1.1166,8550,8550,train,2.643240,14.06,0.445505,,,,,0.00004699,0.0,7834.1
1.1232,8600,8600,train,2.622006,13.76,0.455287,,,,,0.00004664,0.0,7879.5
1.1297,8650,8650,train,2.637064,13.97,0.459328,,,,,0.00004630,0.0,7924.8
1.1362,8700,8700,train,2.617064,13.70,0.442224,,,,,0.00004595,0.0,7970.4
1.1427,8750,8750,train,2.612596,13.63,0.460650,,,,,0.00004560,0.0,8016.0
1.1.1493,8800,8800,train,2.624908,13.80,0.448645,,,,,0.00004526,0.0,8091.21.1558,8850,8850,train,2.618554,13.72,0.432161,,,,,0.00004491,0.0,8106.9
1.1623,8900,8900,train,2.610258,13.60,0.450170,,,,,0.00004456,0.0,8152.6
1.1689,8950,8950,train,2.608148,13.57,0.440603,,,,,0.00004421,0.0,8198.3
1.1754,9000,9000,train,2.603956,13.52,0.453605,,,,,0.00004387,0.0,8244.0
1.1819,9050,9050,train,2.610101,13.60,0.438901,,,,,0.00004352,0.0,8289.8
1.1885,9100,9100,train,2.591055,13.34,0.459694,,,,,0.00004317,0.0,8335.5
1.1950,9150,9150,train,2.595764,13.41,0.450306,,,,,0.00004282,0.0,8381.2
1.2015,9200,9200,train,2.590591,13.34,0.472400,,,,,0.00004248,0.0,8426.5
1.2080,9250,9250,train,2.588549,13.31,0.452474,,,,,0.00004213,0.0,8472.1
1.2146,9300,9300,train,2.583291,13.24,0.450820,,,,,0.00004178,0.0,8517.6
1.2211,9350,9350,train,2.569763,13.06,0.466060,,,,,0.00004144,0.0,8563.3
1.2276,9400,9400,train,2.581036,13.21,0.460914,,,,,0.00004109,0.0,8608.3
1.2342,9450,9450,train,2.577891,13.17,0.460973,,,,,0.00004074,0.0,8653.7
1.2407,9500,9500,train,2.564291,12.99,0.460860,,,,,0.00004039,0.0,8699.3
1.2472,9550,9550,train,2.564627,13.00,0.477422,,,,,0.00004005,0.0,8744.6
1.2538,9600,9600,train,2.575236,13.13,0.450406,,,,,0.00003970,0.0,8790.2
1.2603,9650,9650,train,2.566804,13.02,0.469313,,,,,0.00003935,0.0,8835.7
1.2668,9700,9700,train,2.558892,12.92,0.449667,,,,,0.00003900,0.0,8881.4
1.2733,9750,9750,train,2.567419,13.03,0.463496,,,,,0.00003866,0.0,8926.8
1.2799,9800,9800,train,2.561005,12.95,0.468551,,,,,0.00003831,0.0,8972.2
1.2864,9850,9850,train,2.551751,12.83,0.452582,,,,,0.00003796,0.0,9018.0
1.2929,9900,9900,train,2.545574,12.75,0.477455,,,,,0.00003761,0.0,9063.9
1.2995,9950,9950,train,2.553109,12.85,0.463388,,,,,0.00003727,0.0,9109.8
1.1.3060,10000,10000,train,2.551475,12.83,0.447674,,,,,0.00003692,0.0,9185.21.3125,10050,10050,train,2.550686,12.82,0.464129,,,,,0.00003657,0.0,9200.5
1.3191,10100,10100,train,2.548830,12.79,0.455538,,,,,0.00003623,0.0,9245.9
1.3256,10150,10150,train,2.547860,12.78,0.473594,,,,,0.00003588,0.0,9291.1
1.3321,10200,10200,train,2.542755,12.71,0.456799,,,,,0.00003553,0.0,9336.5
1.3386,10250,10250,train,2.543167,12.72,0.462205,,,,,0.00003518,0.0,9382.1
1.3452,10300,10300,train,2.535218,12.62,0.469217,,,,,0.00003484,0.0,9427.3
1.3517,10350,10350,train,2.545802,12.75,0.478505,,,,,0.00003449,0.0,9472.5
1.3582,10400,10400,train,2.534986,12.62,0.469638,,,,,0.00003414,0.0,9517.5
1.3648,10450,10450,train,2.518769,12.41,0.471029,,,,,0.00003379,0.0,9562.8
1.3713,10500,10500,train,2.530642,12.56,0.476761,,,,,0.00003345,0.0,9608.5
1.3778,10550,10550,train,2.531993,12.58,0.454417,,,,,0.00003310,0.0,9654.0
1.3844,10600,10600,train,2.529685,12.55,0.470798,,,,,0.00003275,0.0,9699.6
1.3909,10650,10650,train,2.526258,12.51,0.474644,,,,,0.00003240,0.0,9744.8
1.3974,10700,10700,train,2.518860,12.41,0.446588,,,,,0.00003206,0.0,9790.3
1.4039,10750,10750,train,2.507372,12.27,0.481166,,,,,0.00003171,0.0,9836.1
1.4105,10800,10800,train,2.517545,12.40,0.486993,,,,,0.00003136,0.0,9881.5
1.4170,10850,10850,train,2.535812,12.63,0.456842,,,,,0.00003102,0.0,9927.0
1.4235,10900,10900,train,2.512734,12.34,0.470588,,,,,0.00003067,0.0,9972.7
1.4301,10950,10950,train,2.508949,12.29,0.470092,,,,,0.00003032,0.0,10018.2
1.4366,11000,11000,train,2.505996,12.26,0.474058,,,,,0.00002997,0.0,10063.8
1.4431,11050,11050,train,2.512619,12.34,0.447071,,,,,0.00002963,0.0,10109.4
1.4497,11100,11100,train,2.509349,12.30,0.458005,,,,,0.00002928,0.0,10155.0
1.4562,11150,11150,train,2.515692,12.38,0.490480,,,,,0.00002893,0.0,10200.7
1.4627,11200,11200,train,2.506775,12.27,0.461903,,,,,0.00002858,0.0,10246.1
1.4692,11250,11250,train,2.509657,12.30,0.459332,,,,,0.00002824,0.0,10291.6
1.41.4758,11300,11300,train,2.506197,12.26,0.465285,,,,,0.00002789,0.0,10366.1.4823,11350,11350,train,2.502673,12.22,0.453857,,,,,0.00002754,0.0,10382.6
1.4888,11400,11400,train,2.494681,12.12,0.469854,,,,,0.00002720,0.0,10427.9
1.4954,11450,11450,train,2.497398,12.15,0.473047,,,,,0.00002685,0.0,10473.5
1.5019,11500,11500,train,2.490385,12.07,0.465555,,,,,0.00002650,0.0,10518.7
1.5084,11550,11550,train,2.498168,12.16,0.477163,,,,,0.00002615,0.0,10564.1
1.5150,11600,11600,train,2.488487,12.04,0.458490,,,,,0.00002581,0.0,10609.4
1.51.5215,11650,11650,train,2.497370,12.15,0.477071,,,,,0.00002546,0.0,10684.1.5280,11700,11700,train,2.488379,12.04,0.472120,,,,,0.00002511,0.0,10700.7
1.5345,11750,11750,train,2.492825,12.10,0.468582,,,,,0.00002476,0.0,10746.1
1.5411,11800,11800,train,2.486667,12.02,0.474297,,,,,0.00002442,0.0,10791.9
1.51.5476,11850,11850,train,2.478760,11.93,0.467377,,,,,0.00002407,0.0,10866.1.5541,11900,11900,train,2.486092,12.01,0.463197,,,,,0.00002372,0.0,10882.5
1.5607,11950,11950,train,2.487657,12.03,0.462459,,,,,0.00002337,0.0,10927.6
1.5672,12000,12000,train,2.479839,11.94,0.460731,,,,,0.00002303,0.0,10972.9
1.51.5737,12050,12050,train,2.477618,11.91,0.487747,,,,,0.00002268,0.0,11048.1.5803,12100,12100,train,2.485542,12.01,0.468750,,,,,0.00002233,0.0,11064.1
1.5868,12150,12150,train,2.480923,11.95,0.473186,,,,,0.00002199,0.0,11109.8
1.5933,12200,12200,train,2.476787,11.90,0.472888,,,,,0.00002164,0.0,11155.5
1.5998,12250,12250,train,2.471502,11.84,0.485216,,,,,0.00002129,0.0,11200.9
1.6064,12300,12300,train,2.471187,11.84,0.456438,,,,,0.00002094,0.0,11246.7
1.6129,12350,12350,train,2.468203,11.80,0.461753,,,,,0.00002060,0.0,11292.1
1.6194,12400,12400,train,2.473250,11.86,0.464845,,,,,0.00002025,0.0,11337.8
1.6260,12450,12450,train,2.463446,11.75,0.454099,,,,,0.00001990,0.0,11383.6
1.6325,12500,12500,train,2.458717,11.69,0.476375,,,,,0.00001955,0.0,11429.4
1.6390,12550,12550,train,2.475630,11.89,0.484977,,,,,0.00001921,0.0,11475.1
1.6456,12600,12600,train,2.461292,11.72,0.473795,,,,,0.00001886,0.0,11520.4
1.6521,12650,12650,train,2.462406,11.73,0.467788,,,,,0.00001851,0.0,11565.9
1.6586,12700,12700,train,2.470768,11.83,0.491947,,,,,0.00001816,0.0,11611.5
1.6651,12750,12750,train,2.466775,11.78,0.470051,,,,,0.00001782,0.0,11656.9
1.6717,12800,12800,train,2.464998,11.76,0.456115,,,,,0.00001747,0.0,11702.2
1.6782,12850,12850,train,2.462545,11.73,0.480216,,,,,0.00001712,0.0,11748.0
1.6847,12900,12900,train,2.461696,11.72,0.457207,,,,,0.00001678,0.0,11793.3
1.6913,12950,12950,train,2.453915,11.63,0.468608,,,,,0.00001643,0.0,11838.7
1.61.6978,13000,13000,train,2.459588,11.70,0.475372,,,,,0.00001608,0.0,11914.1.71.7043,13050,13050,train,2.453211,11.63,0.495311,,,,,0.00001573,0.0,11959.1.7109,13100,13100,train,2.456076,11.66,0.461119,,,,,0.00001539,0.0,11975.5
1.7174,13150,13150,train,2.446899,11.55,0.467807,,,,,0.00001504,0.0,12021.0
1.71.7239,13200,13200,train,2.450917,11.60,0.474376,,,,,0.00001469,0.0,12096.1.71.7304,13250,13250,train,2.444053,11.52,0.483358,,,,,0.00001434,0.0,12141.1.7370,13300,13300,train,2.438107,11.45,0.480474,,,,,0.00001400,0.0,12157.5
1.7435,13350,13350,train,2.441936,11.50,0.494033,,,,,0.00001365,0.0,12203.1
