epoch,global_step,phase,loss,accuracy,f1_macro,f1_weighted,precision,recall,learning_rate,wall_sec
2.4029,13550,train,1.452258,,,,,,0.00000442,3220.3
2.4118,13600,train,1.421429,,,,,,0.00000436,3231.4
2.4206,13650,train,1.396615,,,,,,0.00000429,3242.9
2.4295,13700,train,1.353491,,,,,,0.00000423,3254.3
2.4384,13750,train,1.454794,,,,,,0.00000416,3265.7
2.4472,13800,train,1.421427,,,,,,0.00000410,3277.4
2.4561,13850,train,1.318134,,,,,,0.00000403,3288.5
2.4650,13900,train,1.443440,,,,,,0.00000396,3300.2
2.4738,13950,train,1.358038,,,,,,0.00000390,3311.4
2.4827,14000,train,1.396083,,,,,,0.00000383,3322.8
2.4916,14050,train,1.380619,,,,,,0.00000377,3334.2
2.5004,14100,train,1.380749,,,,,,0.00000370,3345.9
2.5093,14150,train,1.418909,,,,,,0.00000364,3357.1
2.5182,14200,train,1.474605,,,,,,0.00000357,3368.6
2.5270,14250,train,1.424247,,,,,,0.00000350,3380.2
2.5359,14300,train,1.372576,,,,,,0.00000344,3391.4
2.5448,14350,train,1.403614,,,,,,0.00000337,3402.8
2.5536,14400,train,1.349581,,,,,,0.00000331,3414.2
2.5625,14450,train,1.321219,,,,,,0.00000324,3425.9
2.5714,14500,train,1.393169,,,,,,0.00000318,3437.0
2.5802,14550,train,1.325716,,,,,,0.00000311,3448.5
2.5891,14600,train,1.396370,,,,,,0.00000304,3459.9
2.5980,14650,train,1.394475,,,,,,0.00000298,3471.3
2.6068,14700,train,1.418657,,,,,,0.00000291,3482.8
2.6157,14750,train,1.333482,,,,,,0.00000285,3494.2
2.6246,14800,train,1.395625,,,,,,0.00000278,3505.8
2.6334,14850,train,1.401415,,,,,,0.00000272,3517.0
2.6423,14900,train,1.333896,,,,,,0.00000265,3528.4
2.6512,14950,train,1.357668,,,,,,0.00000259,3540.1
2.6600,15000,train,1.375960,,,,,,0.00000252,3551.3
2.6689,15050,train,1.333202,,,,,,0.00000245,3562.7
2.6778,15100,train,1.407868,,,,,,0.00000239,3574.2
2.6866,15150,train,1.340762,,,,,,0.00000232,3585.6
2.6955,15200,train,1.364792,,,,,,0.00000226,3597.0
2.7044,15250,train,1.321652,,,,,,0.00000219,3608.5
2.7132,15300,train,1.454891,,,,,,0.00000213,3619.9
2.7221,15350,train,1.397382,,,,,,0.00000206,3631.4
2.7310,15400,train,1.293651,,,,,,0.00000199,3642.7
2.7398,15450,train,1.364616,,,,,,0.00000193,3654.1
2.7487,15500,train,1.284187,,,,,,0.00000186,3665.5
2.7576,15550,train,1.366720,,,,,,0.00000180,3676.9
2.7664,15600,train,1.334989,,,,,,0.00000173,3688.4
2.7753,15650,train,1.405719,,,,,,0.00000167,3699.8
2.7842,15700,train,1.314125,,,,,,0.00000160,3711.2
2.7930,15750,train,1.340003,,,,,,0.00000153,3722.6
2.8019,15800,train,1.355188,,,,,,0.00000147,3734.0
2.8108,15850,train,1.329131,,,,,,0.00000140,3745.4
2.8196,15900,train,1.295891,,,,,,0.00000134,3756.8
2.8285,15950,train,1.423269,,,,,,0.00000127,3768.3
2.8374,16000,train,1.328199,,,,,,0.00000121,3779.7
2.8462,16050,train,1.375727,,,,,,0.00000114,3791.2
2.8551,16100,train,1.344902,,,,,,0.00000107,3802.6
2.8640,16150,train,1.389697,,,,,,0.00000101,3814.0
2.8728,16200,train,1.306636,,,,,,0.00000094,3825.7
2.8817,16250,train,1.288570,,,,,,0.00000088,3837.1
2.8906,16300,train,1.344712,,,,,,0.00000081,3848.5
2.8995,16350,train,1.370509,,,,,,0.00000075,3859.7
2.9083,16400,train,1.270435,,,,,,0.00000068,3871.4
2.9172,16450,train,1.324762,,,,,,0.00000061,3882.5
2.9261,16500,train,1.325690,,,,,,0.00000055,3893.9
2.9349,16550,train,1.412066,,,,,,0.00000048,3905.3
2.9438,16600,train,1.323255,,,,,,0.00000042,3916.7
2.9527,16650,train,1.382391,,,,,,0.00000035,3928.2
2.9615,16700,train,1.330185,,,,,,0.00000029,3939.6
2.9704,16750,train,1.359850,,,,,,0.00000022,3951.0
2.9793,16800,train,1.319208,,,,,,0.00000015,3962.7
2.9881,16850,train,1.306747,,,,,,0.00000009,3973.7
2.9970,16900,train,1.428667,,,,,,0.00000002,3985.1
3.0000,16917,val,2.148795,0.691615,0.548125,0.692980,0.698150,0.691615,,4018.9
